S0601_C01_001E,S0601_C01_011E,S0601_C01_012E,S0601_C01_013E,S0601_C01_014E,S0601_C01_015E,S0601_C01_016E,S0601_C01_017E,S0601_C01_018E,S0601_C01_019E,S0601_C01_020E,S0601_C01_021E,S0601_C01_022E,S0601_C01_023E,S0601_C01_024E,S0601_C01_025E,S0601_C01_026E,S0601_C01_027E,S0601_C01_028E,S0601_C01_034E,S0601_C01_035E,S0601_C01_036E,S0601_C01_037E,S0601_C01_038E,S0601_C01_039E,S0601_C01_040E,S0601_C01_041E,S0601_C01_042E,S0601_C01_043E,S0601_C01_044E,S0601_C01_045E,S0601_C01_046E,S0601_C01_047E,S0601_C01_048E,FIPS,STATEFP,COUNTYFP,TRACTCE
4844,51.3,48.7,97.6,89.6,5.9,0.6,0.4,0.0,1.2,2.4,12.0,78.9,4495,7.0,5.0,2.0,3854,17.4,33.5,37.9,11.5,8.4,3854,7.4,12.5,17.6,10.0,12.1,10.6,3.7,9.1,28542,4785,48001950100,48,001,950100
4838,96.3,3.7,99.1,59.4,39.1,0.3,0.0,0.0,0.4,0.9,25.1,34.7,4800,23.4,21.8,1.5,4694,53.5,36.8,35.1,3.0,0.2,4694,3.7,0.6,1.1,0.6,1.9,1.6,0.1,0.0,20100,321,48001950401,48,001,950401
7511,98.9,1.1,99.8,58.6,40.8,0.2,0.1,0.1,0.0,0.2,23.2,35.5,7501,22.1,20.1,2.0,7486,50.8,39.0,27.6,2.0,1.2,7486,1.1,0.6,0.8,0.2,1.2,0.2,0.0,0.1,16600,205,48001950402,48,001,950402
4465,50.9,49.1,96.3,66.8,22.7,0.6,0.0,0.0,6.3,3.7,38.5,36.1,4178,37.5,20.1,17.5,3462,26.1,45.8,26.9,6.9,4.5,3462,16.4,10.1,22.9,15.0,13.4,3.4,1.0,3.1,21716,4394,48001950500,48,001,950500
5148,49.1,50.9,99.0,68.9,30.0,0.0,0.0,0.0,0.0,1.0,3.2,65.7,4890,1.1,0.3,0.8,4285,39.3,38.0,26.8,5.4,0.9,4285,16.9,15.1,22.3,9.1,10.4,6.1,1.6,2.4,17137,5047,48001950600,48,001,950600
2783,58.3,41.7,98.8,47.2,38.1,0.5,0.2,0.0,12.9,1.2,34.6,25.7,2565,35.4,20.2,15.2,2070,36.2,34.3,30.3,4.5,1.6,2070,11.8,15.4,19.6,10.1,9.1,5.6,0.0,2.1,17294,2584,48001950700,48,001,950700
5505,45.1,54.9,97.4,58.1,25.6,0.6,4.6,0.0,8.5,2.6,15.8,50.8,4872,10.7,5.0,5.7,4175,31.7,42.4,29.9,11.3,9.3,4175,13.3,12.9,14.8,19.8,7.8,12.0,2.9,5.4,25964,5505,48001950800,48,001,950800
6501,55.8,44.2,98.6,83.4,10.6,1.2,0.2,0.0,3.2,1.4,15.5,71.7,6200,11.0,7.0,4.0,5312,25.5,39.6,33.6,5.5,4.1,5312,13.4,9.1,15.7,11.7,7.4,5.3,1.0,3.5,19409,5388,48001950901,48,001,950901
4501,51.1,48.9,98.2,84.3,13.3,0.2,0.0,0.0,0.3,1.8,11.8,72.9,4207,11.3,5.8,5.6,3702,11.8,41.2,31.1,10.8,0.8,3702,11.1,14.5,17.0,11.7,13.7,7.8,2.4,5.7,24545,4501,48001950902,48,001,950902
7276,47.6,52.4,99.9,88.5,3.3,1.1,0.1,0.0,6.9,0.1,12.9,83.7,6868,8.1,5.9,2.2,5832,22.9,36.6,36.8,9.9,5.9,5832,16.1,10.0,16.9,13.3,13.1,7.9,3.0,8.0,25434,7180,48001951000,48,001,951000
