S1101_C01_001E,S1101_C01_002E,S1101_C01_003E,S1101_C01_004E,S1101_C02_001E,S1101_C02_002E,S1101_C02_003E,S1101_C02_004E,FIPS,STATEFP,COUNTYFP,TRACTCE
1790,2.68,1422,3.00,1098,2.97,1098,2.93,48001950100,48,001,950100
95,3.38,72,4.14,65,4.34,65,4.34,48001950401,48,001,950401
112,1.83,88,1.90,55,1.98,55,1.98,48001950402,48,001,950402
1584,2.77,1144,3.30,839,3.39,839,3.36,48001950500,48,001,950500
1792,2.83,1123,3.59,619,3.24,619,3.24,48001950600,48,001,950600
911,2.84,556,3.80,296,4.03,296,4.03,48001950700,48,001,950700
2080,2.64,1446,3.20,931,3.12,931,3.10,48001950800,48,001,950800
1854,2.91,1254,3.56,982,3.71,982,3.64,48001950901,48,001,950901
1893,2.38,1318,2.87,1198,2.81,1198,2.81,48001950902,48,001,950902
2857,2.51,2110,2.96,1564,3.06,1564,3.05,48001951000,48,001,951000
1709,2.60,1069,3.25,867,3.41,867,3.38,48001951100,48,001,951100
725,3.18,571,3.52,522,3.66,522,3.52,48003950100,48,003,950100
2528,2.92,1958,3.44,1704,3.38,1704,3.38,48003950200,48,003,950200
1456,3.35,1086,3.93,798,3.98,798,3.96,48003950300,48,003,950300
864,3.91,658,4.46,539,4.51,539,4.44,48003950400,48,003,950400
2041,2.90,1604,3.25,1048,3.33,1048,3.33,48005000101,48,005,000101
1600,2.98,1361,3.25,1172,3.29,1172,3.26,48005000102,48,005,000102
2437,2.74,1838,3.17,1439,3.19,1439,3.15,48005000200,48,005,000200
2056,2.56,1518,2.89,919,3.18,919,3.08,48005000301,48,005,000301
2025,2.58,1398,3.18,999,3.15,999,3.15,48005000302,48,005,000302
1833,2.47,1145,3.17,714,3.64,714,3.64,48005000400,48,005,000400
1444,2.74,932,3.45,375,3.50,375,3.50,48005000500,48,005,000500
1873,3.34,1543,3.70,930,3.79,930,3.79,48005000600,48,005,000600
1138,3.32,841,3.95,496,4.15,496,4.10,48005000700,48,005,000700
