S1201_C01_001E,S1201_C01_017E,S1201_C01_018E,S1201_C01_019E,S1201_C01_020E,S1201_C01_021E,S1201_C01_022E,S1201_C01_023E,S1201_C01_024E,S1201_C01_025E,S1201_C01_026E,S1201_C02_001E,S1201_C03_001E,S1201_C04_001E,S1201_C05_001E,S1201_C06_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
3854,3780,3433,250,28,10,0,59,74,447,3051,64.2,8.1,8.5,1.7,17.4,48001950100,48,001,950100
4694,4651,2737,1890,15,0,0,9,43,1212,1543,19.9,1.1,15.9,9.7,53.5,48001950401,48,001,950401
7486,7471,4390,3048,17,7,9,0,15,1744,2654,19.4,3.0,21.9,4.9,50.8,48001950402,48,001,950402
3462,3368,2275,838,26,0,0,229,94,1224,1314,53.4,4.3,13.5,2.7,26.1,48001950500,48,001,950500
4285,4263,2933,1330,0,0,0,0,22,165,2768,36.0,8.3,14.7,1.8,39.3,48001950600,48,001,950600
2070,2041,931,864,13,5,0,228,29,548,616,36.3,13.2,10.9,3.3,36.2,48001950700,48,001,950700
4175,4117,2779,906,33,130,0,269,58,566,2482,50.5,5.2,9.5,3.1,31.7,48001950800,48,001,950800
5312,5271,4432,633,38,12,0,156,41,699,3889,43.4,8.2,21.1,1.8,25.5,48001950901,48,001,950901
3702,3695,3212,458,10,0,0,15,7,323,2904,68.2,5.4,14.4,0.2,11.8,48001950902,48,001,950902
5832,5824,5245,192,48,10,0,329,8,700,4928,54.1,8.2,12.7,2.1,22.9,48001951000,48,001,951000
3646,3532,3150,339,9,17,0,17,114,367,2800,54.8,5.2,22.1,1.0,17.0,48001951100,48,001,951100
1707,1693,1676,8,0,0,0,9,14,730,965,69.6,4.9,6.8,1.0,17.7,48003950100,48,003,950100
5886,5688,4849,75,0,65,31,668,198,3049,2528,59.3,3.2,11.7,2.3,23.4,48003950200,48,003,950200
3053,2993,2903,39,0,0,0,51,60,2140,814,50.5,4.0,10.4,4.5,30.6,48003950300,48,003,950300
2627,2627,2538,0,0,0,0,89,0,1196,1431,50.7,4.2,11.2,3.2,30.7,48003950400,48,003,950400
5081,5066,4708,341,10,7,0,0,15,534,4174,44.7,5.7,15.5,3.4,30.6,48005000101,48,005,000101
3492,3463,3269,106,11,58,0,19,29,308,2980,68.6,5.9,7.7,1.3,16.6,48005000102,48,005,000102
5232,5204,4572,422,95,0,0,115,28,1199,3583,57.9,5.1,9.3,3.4,24.3,48005000200,48,005,000200
4277,4266,3564,587,83,0,0,32,11,551,3092,45.1,6.8,14.3,4.8,29.0,48005000301,48,005,000301
4005,4003,3408,510,0,36,0,49,2,638,2821,54.2,5.5,11.1,3.0,26.1,48005000302,48,005,000302
4121,4094,3274,758,0,36,0,26,27,1130,2191,40.0,8.4,20.4,3.5,27.6,48005000400,48,005,000400
3048,2992,862,2105,0,0,0,25,56,425,462,27.2,10.7,16.5,6.0,39.6,48005000500,48,005,000500
4767,4743,3010,1438,0,110,0,185,24,2119,1090,47.2,5.6,11.7,2.2,33.3,48005000600,48,005,000600
2771,2719,1821,675,25,0,0,198,52,1455,597,37.3,4.7,11.9,5.3,40.8,48005000700,48,005,000700
4715,4613,3975,423,93,6,0,116,102,790,3374,51.6,10.3,9.7,1.0,27.4,48005000800,48,005,000800
5113,4941,3662,1008,0,197,0,74,172,759,2951,53.9,8.8,7.3,1.2,28.8,48005000901,48,005,000901
3216,3166,2467,392,0,274,5,28,50,442,2072,56.3,4.4,5.7,4.7,28.9,48005000902,48,005,000902
4038,3973,2794,616,13,0,0,550,65,1775,1576,41.8,8.4,16.5,4.2,29.1,48005001001,48,005,001001
3058,2983,2555,318,0,32,0,78,75,700,1933,56.5,4.3,10.7,2.3,26.2,48005001002,48,005,001002
5479,5446,5209,168,0,44,0,25,33,270,4990,51.1,7.7,14.3,2.0,24.9,48005001100,48,005,001100
1973,1906,1876,25,0,5,0,0,67,8,1868,50.6,8.5,17.8,4.8,18.3,48005001200,48,005,001200
4320,4242,4128,109,5,0,0,0,78,142,3986,53.5,7.0,18.2,0.6,20.6,48005001300,48,005,001300
4711,4528,4258,16,6,248,0,0,183,576,3822,58.9,7.5,13.0,1.9,18.7,48007950100,48,007,950100
1013,1006,1004,0,2,0,0,0,7,95,909,56.3,15.6,6.7,0.0,21.4,48007950200,48,007,950200
6695,6543,6427,37,0,0,0,79,152,2515,3991,56.6,5.8,17.4,3.2,17.1,48007950300,48,007,950300
3417,3326,2833,113,45,241,0,94,91,1100,1933,52.1,3.5,16.2,0.9,27.4,48007950400,48,007,950400
4941,4647,4408,19,0,0,0,220,294,762,4017,52.7,8.3,17.2,1.1,20.7,48007950500,48,007,950500
0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,48007990000,48,007,990000
2454,2422,2386,9,11,9,0,7,32,66,2342,68.2,5.6,10.7,1.3,14.3,48009020100,48,009,020100
1966,1897,1871,0,26,0,0,0,69,44,1839,55.5,10.4,8.4,2.5,23.1,48009020200,48,009,020200
2794,2777,2618,74,54,0,0,31,17,420,2261,49.5,8.7,12.8,1.3,27.7,48009020300,48,009,020300
1601,1555,1486,5,22,0,0,42,46,137,1416,61.3,6.6,11.6,2.7,17.8,48011950100,48,011,950100
5541,5325,5078,47,0,37,0,163,216,3231,2160,57.9,8.6,9.0,5.0,19.5,48013960100,48,013,960100
5782,5653,5538,0,3,0,0,112,129,3868,1843,47.7,7.3,10.9,2.1,32.0,48013960201,48,013,960201
8461,8326,8024,38,32,0,0,232,135,6007,2309,50.0,5.9,8.2,4.6,31.3,48013960202,48,013,960202
3061,2932,2815,0,65,45,0,7,129,2518,459,46.4,7.1,9.1,1.2,36.2,48013960300,48,013,960300
1767,1654,1591,0,11,0,0,52,113,1266,465,53.4,7.8,13.4,2.9,22.6,48013960401,48,013,960401
6901,6450,6256,24,0,48,0,122,451,3061,3697,52.2,6.9,11.5,1.0,28.5,48013960402,48,013,960402
1995,1895,1838,10,0,0,0,47,100,1552,398,53.2,3.8,6.0,8.0,29.0,48013960500,48,013,960500
4720,4615,4461,16,0,0,0,138,105,2291,2290,40.6,6.4,15.5,5.6,32.0,48013960600,48,013,960600
2075,2055,1540,221,15,0,0,279,20,761,1060,58.9,6.2,9.2,1.1,24.6,48015760100,48,015,760100
4484,4350,3265,587,0,16,0,482,134,1298,2554,62.8,5.8,9.3,1.5,20.8,48015760200,48,015,760200
5340,5147,4006,329,0,0,0,812,193,1663,3241,56.0,6.7,10.6,4.4,22.4,48015760300,48,015,760300
3398,3392,2938,254,0,85,0,115,6,483,2555,67.2,4.9,5.7,1.4,20.8,48015760400,48,015,760400
3876,3818,3678,98,0,0,0,42,58,328,3392,72.4,5.6,5.5,0.3,16.1,48015760501,48,015,760501
4722,4722,3614,716,30,0,0,362,0,1032,2944,55.2,8.3,7.3,0.0,29.2,48015760502,48,015,760502
5658,5655,4689,33,80,57,0,796,3,3243,2253,42.4,6.8,9.0,4.1,37.7,48017950100,48,017,950100
3716,3709,3583,0,28,23,0,75,7,578,3108,66.7,6.7,12.1,1.6,12.9,48019000101,48,019,000101
5227,4700,4650,12,0,5,0,33,527,977,4122,55.7,6.6,12.5,1.8,23.4,48019000102,48,019,000102
2385,2385,2203,104,3,0,0,75,0,203,2075,47.0,10.6,12.7,1.3,28.3,48019000200,48,019,000200
5910,5633,5335,38,136,19,0,105,277,1375,4358,50.1,6.2,19.1,1.7,22.9,48019000300,48,019,000300
1886,1801,1704,0,82,15,0,0,85,231,1565,56.0,3.6,19.6,2.9,17.9,48019000400,48,019,000400
6953,6854,5330,190,14,84,0,1236,99,1938,4567,49.8,8.8,15.2,1.6,24.7,48021950100,48,021,950100
7251,7149,3712,2075,0,17,0,1345,102,3074,2128,42.0,4.6,14.5,0.2,38.6,48021950200,48,021,950200
12298,11997,9172,979,29,253,0,1564,301,3108,7817,47.9,6.4,12.6,0.7,32.4,48021950300,48,021,950300
7721,7535,6563,481,49,47,0,395,186,1061,6019,54.0,7.0,14.9,3.3,20.7,48021950400,48,021,950400
7111,6951,5075,496,117,78,0,1185,160,3437,3015,42.0,3.9,13.2,3.1,37.8,48021950501,48,021,950501
5111,4993,4693,73,90,20,0,117,118,571,4284,58.8,6.9,11.2,0.8,22.3,48021950502,48,021,950502
4438,4347,3900,215,27,36,0,169,91,540,3601,54.2,7.1,13.5,3.0,22.2,48021950600,48,021,950600
3822,3785,3026,402,26,72,0,259,37,356,2819,45.0,11.1,14.5,1.0,28.5,48021950700,48,021,950700
5994,5610,2261,258,28,0,0,3063,384,4305,1365,50.3,2.2,5.0,1.5,41.0,48021950801,48,021,950801
6190,6171,3509,89,0,20,0,2553,19,3791,2251,45.8,2.8,11.4,0.8,39.1,48021950802,48,021,950802
2932,2910,2696,79,9,0,40,86,22,225,2564,54.8,14.6,9.4,2.6,18.6,48023950300,48,023,950300
1496,1495,1473,18,0,0,0,4,1,632,845,48.9,8.0,13.6,1.9,27.5,48025950100,48,025,950100
8179,7328,5300,1956,46,10,4,12,851,3500,2104,20.5,2.8,18.7,3.4,54.6,48025950201,48,025,950201
4313,4311,4212,40,26,33,0,0,2,2159,2106,56.0,5.2,6.4,2.4,30.0,48025950202,48,025,950202
4270,4224,4045,54,0,87,0,38,46,2501,1575,41.6,6.0,12.2,1.0,39.3,48025950300,48,025,950300
1613,1582,1502,4,22,21,0,33,31,1042,524,38.8,8.7,18.4,0.0,34.0,48025950400,48,025,950400
4801,4778,4332,147,56,10,0,233,23,3470,1204,37.2,8.0,11.2,6.5,37.2,48025950500,48,025,950500
