S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,FIPS,STATEFP,COUNTYFP,TRACTCE
205,17,165,16,7,3399,69,231,1137,1043,245,390,284,3099,48001950100,48,001,950100
634,274,229,117,14,4060,134,874,1494,1242,183,123,10,3052,48001950401,48,001,950401
268,164,62,42,0,7213,669,1513,2813,1617,377,141,83,5031,48001950402,48,001,950402
383,190,105,88,0,2889,235,226,1322,570,208,198,130,2428,48001950500,48,001,950500
448,124,256,68,0,3493,157,849,1329,749,188,188,33,2487,48001950600,48,001,950600
279,57,169,53,0,1698,355,143,582,362,152,76,28,1200,48001950700,48,001,950700
721,66,492,127,36,3306,41,190,1403,646,344,374,308,3075,48001950800,48,001,950800
312,62,118,108,24,4654,250,553,1844,1193,369,256,189,3851,48001950901,48,001,950901
289,78,79,132,0,3374,315,228,1390,823,227,364,27,2831,48001950902,48,001,950902
693,77,372,232,12,4774,176,340,1746,1351,404,473,284,4258,48001951000,48,001,951000
257,37,73,108,39,3213,142,161,1301,821,283,287,218,2910,48001951100,48,001,951100
151,32,0,114,5,1412,92,165,347,344,119,190,155,1155,48003950100,48,003,950100
726,96,445,176,9,4740,719,473,1561,953,329,414,291,3548,48003950200,48,003,950200
449,53,266,123,7,2388,349,515,949,344,50,160,21,1524,48003950300,48,003,950300
322,29,180,113,0,2160,347,309,882,422,125,50,25,1504,48003950400,48,003,950400
504,29,153,278,44,4207,487,279,1533,789,379,472,268,3441,48005000101,48,005,000101
204,59,61,65,19,3059,94,87,771,716,520,644,227,2878,48005000102,48,005,000102
634,112,298,192,32,4341,499,418,1444,1127,242,411,200,3424,48005000200,48,005,000200
611,63,183,345,20,3333,134,270,1091,1136,347,193,162,2929,48005000301,48,005,000301
486,57,145,267,17,3325,171,254,909,845,433,410,303,2900,48005000302,48,005,000302
