S1601_C01_001E,S1601_C01_002E,S1601_C01_003E,S1601_C01_004E,S1601_C01_008E,S1601_C01_012E,S1601_C01_016E,FIPS,STATEFP,COUNTYFP,TRACTCE
4495,4180,315,287,28,0,0,48001950100,48,001,950100
4800,3679,1121,1094,19,0,8,48001950401,48,001,950401
7501,5845,1656,1495,81,23,57,48001950402,48,001,950402
4178,2610,1568,1568,0,0,0,48001950500,48,001,950500
4890,4835,55,55,0,0,0,48001950600,48,001,950600
2565,1657,908,890,13,5,0,48001950700,48,001,950700
4872,4353,519,182,35,170,132,48001950800,48,001,950800
6200,5518,682,639,11,12,20,48001950901,48,001,950901
4207,3730,477,469,8,0,0,48001950902,48,001,950902
6868,6309,559,529,7,23,0,48001951000,48,001,951000
4189,3946,243,224,10,0,9,48001951100,48,001,951100
2110,1309,801,798,3,0,0,48003950100,48,003,950100
6847,4194,2653,2531,89,28,5,48003950200,48,003,950200
4354,1924,2430,2409,21,0,0,48003950300,48,003,950300
3174,1859,1315,1315,0,0,0,48003950400,48,003,950400
6072,5498,574,559,0,15,0,48005000101,48,005,000101
4441,4144,297,212,27,58,0,48005000102,48,005,000102
6384,4901,1483,1458,0,0,25,48005000200,48,005,000200
4833,4490,343,331,12,0,0,48005000301,48,005,000301
4770,4245,525,500,25,0,0,48005000302,48,005,000302
4790,3430,1360,1313,0,19,28,48005000400,48,005,000400
3684,3115,569,568,1,0,0,48005000500,48,005,000500
6237,3375,2862,2745,7,110,0,48005000600,48,005,000600
3410,1935,1475,1475,0,0,0,48005000700,48,005,000700
5448,4536,912,897,15,0,0,48005000800,48,005,000800
5895,5039,856,709,18,129,0,48005000901,48,005,000901
3502,2962,540,175,92,273,0,48005000902,48,005,000902
4631,2721,1910,1902,8,0,0,48005001001,48,005,001001
3646,2816,830,795,11,24,0,48005001002,48,005,001002
6341,6081,260,216,0,44,0,48005001100,48,005,001100
2266,2098,168,105,58,5,0,48005001200,48,005,001200
5063,4981,82,26,56,0,0,48005001300,48,005,001300
5047,4668,379,221,6,152,0,48007950100,48,007,950100
1019,959,60,53,0,0,7,48007950200,48,007,950200
7208,4848,2360,2356,2,0,2,48007950300,48,007,950300
4428,3123,1305,1126,19,160,0,48007950400,48,007,950400
5624,5085,539,468,70,0,1,48007950500,48,007,950500
0,0,0,0,0,0,0,48007990000,48,007,990000
2770,2692,78,63,0,15,0,48009020100,48,009,020100
2228,2206,22,20,2,0,0,48009020200,48,009,020200
3262,2890,372,372,0,0,0,48009020300,48,009,020300
