S2501_C01_001E,S2501_C01_002E,S2501_C01_003E,S2501_C01_004E,S2501_C01_005E,FIPS,STATEFP,COUNTYFP,TRACTCE
1790,338,806,265,381,48001950100,48,001,950100
95,23,37,0,35,48001950401,48,001,950401
112,24,33,51,4,48001950402,48,001,950402
1584,366,678,166,374,48001950500,48,001,950500
1792,580,430,359,423,48001950600,48,001,950600
911,306,186,212,207,48001950700,48,001,950700
2080,621,672,402,385,48001950800,48,001,950800
1854,531,582,144,597,48001950901,48,001,950901
1893,484,792,379,238,48001950902,48,001,950902
2857,692,1193,447,525,48001951000,48,001,951000
1709,490,637,216,366,48001951100,48,001,951100
725,109,250,139,227,48003950100,48,003,950100
2528,503,863,505,657,48003950200,48,003,950200
1456,306,305,160,685,48003950300,48,003,950300
864,176,225,132,331,48003950400,48,003,950400
2041,361,783,334,563,48005000101,48,005,000101
1600,206,497,452,445,48005000102,48,005,000102
2437,556,879,358,644,48005000200,48,005,000200
2056,453,616,456,531,48005000301,48,005,000301
2025,559,628,276,562,48005000302,48,005,000302
1833,608,565,219,441,48005000400,48,005,000400
1444,454,471,176,343,48005000500,48,005,000500
1873,269,519,283,802,48005000600,48,005,000600
1138,263,215,183,477,48005000700,48,005,000700
2203,543,678,308,674,48005000800,48,005,000800
2485,796,740,441,508,48005000901,48,005,000901
1607,550,582,281,194,48005000902,48,005,000902
1338,230,435,190,483,48005001001,48,005,001001
1433,231,526,307,369,48005001002,48,005,001002
2408,448,925,255,780,48005001100,48,005,001100
1055,286,397,195,177,48005001200,48,005,001200
2059,356,771,436,496,48005001300,48,005,001300
2411,848,1218,127,218,48007950100,48,007,950100
606,252,297,47,10,48007950200,48,007,950200
2833,833,1401,284,315,48007950300,48,007,950300
1405,381,463,139,422,48007950400,48,007,950400
2293,695,987,301,310,48007950500,48,007,950500
0,0,0,0,0,48007990000,48,007,990000
1106,177,467,185,277,48009020100,48,009,020100
956,230,412,139,175,48009020200,48,009,020200
1390,522,409,141,318,48009020300,48,009,020300
694,128,303,146,117,48011950100,48,011,950100
2549,641,879,373,656,48013960100,48,013,960100
2076,302,549,348,877,48013960201,48,013,960201
3241,617,987,288,1349,48013960202,48,013,960202
1166,222,359,263,322,48013960300,48,013,960300
777,180,254,91,252,48013960401,48,013,960401
2908,561,905,664,778,48013960402,48,013,960402
838,161,332,92,253,48013960500,48,013,960500
1991,474,438,536,543,48013960600,48,013,960600
983,285,266,160,272,48015760100,48,015,760100
2131,455,633,321,722,48015760200,48,015,760200
2551,547,893,303,808,48015760300,48,015,760300
1558,324,775,156,303,48015760400,48,015,760400
1767,240,808,295,424,48015760501,48,015,760501
2311,568,810,594,339,48015760502,48,015,760502
2054,535,861,157,501,48017950100,48,017,950100
1774,424,919,199,232,48019000101,48,019,000101
2207,537,1024,382,264,48019000102,48,019,000102
1021,335,437,96,153,48019000200,48,019,000200
2467,553,1081,495,338,48019000300,48,019,000300
930,343,372,111,104,48019000400,48,019,000400
2687,667,957,408,655,48021950100,48,021,950100
2481,597,557,485,842,48021950200,48,021,950200
5034,996,1544,1052,1442,48021950300,48,021,950300
3516,1090,1374,535,517,48021950400,48,021,950400
2023,514,480,299,730,48021950501,48,021,950501
2179,424,972,246,537,48021950502,48,021,950502
1939,519,715,175,530,48021950600,48,021,950600
1725,552,633,261,279,48021950700,48,021,950700
1824,124,553,294,853,48021950801,48,021,950801
2163,370,639,278,876,48021950802,48,021,950802
1530,538,531,186,275,48023950300,48,023,950300
612,176,228,73,135,48025950100,48,025,950100
345,124,99,25,97,48025950201,48,025,950201
1677,395,610,237,435,48025950202,48,025,950202
1998,556,701,277,464,48025950300,48,025,950300
628,169,146,83,230,48025950400,48,025,950400
2189,555,751,436,447,48025950500,48,025,950500
820,119,343,136,222,48025950600,48,025,950600
2445,269,1142,284,750,48027020100,48,027,020100
2816,330,1089,591,806,48027020201,48,027,020201
2700,547,1201,357,595,48027020202,48,027,020202
3606,606,1134,607,1259,48027020300,48,027,020300
1298,436,402,165,295,48027020401,48,027,020401
925,215,329,160,221,48027020402,48,027,020402
1329,346,364,285,334,48027020500,48,027,020500
964,247,292,224,201,48027020600,48,027,020600
746,486,112,52,96,48027020701,48,027,020701
588,222,148,78,140,48027020702,48,027,020702
999,264,365,122,248,48027020800,48,027,020800
977,392,269,118,198,48027020900,48,027,020900
1671,532,583,291,265,48027021000,48,027,021000
2110,724,597,286,503,48027021100,48,027,021100
1607,709,491,245,162,48027021201,48,027,021201
1549,455,573,246,275,48027021202,48,027,021202
1999,644,780,361,214,48027021203,48,027,021203
2068,617,710,445,296,48027021301,48,027,021301
1261,414,565,84,198,48027021302,48,027,021302
3647,847,1369,501,930,48027021303,48,027,021303
1463,391,437,186,449,48027021400,48,027,021400
2241,538,666,223,814,48027021500,48,027,021500
2044,778,526,275,465,48027021601,48,027,021601
454,124,210,38,82,48027021602,48,027,021602
3757,1617,1038,469,633,48027021700,48,027,021700
3277,652,1330,421,874,48027021800,48,027,021800
1175,231,457,289,198,48027021901,48,027,021901
3080,540,1073,702,765,48027021903,48,027,021903
4089,811,1359,692,1227,48027021904,48,027,021904
2825,573,1162,348,742,48027022000,48,027,022000
1724,518,679,265,262,48027022101,48,027,022101
1840,266,555,423,596,48027022103,48,027,022103
1773,551,676,259,287,48027022104,48,027,022104
765,179,268,122,196,48027022105,48,027,022105
1618,675,449,234,260,48027022200,48,027,022200
1681,609,549,315,208,48027022300,48,027,022300
2160,581,680,383,516,48027022401,48,027,022401
2301,245,680,400,976,48027022402,48,027,022402
1550,250,490,338,472,48027022403,48,027,022403
2547,547,723,504,773,48027022404,48,027,022404
1139,590,382,54,113,48027022405,48,027,022405
1206,401,370,214,221,48027022501,48,027,022501
4499,1348,1267,687,1197,48027022502,48,027,022502
1784,707,444,338,295,48027022600,48,027,022600
1100,527,242,114,217,48027022801,48,027,022801
1611,693,461,187,270,48027022900,48,027,022900
3334,700,751,902,981,48027023000,48,027,023000
1782,575,493,316,398,48027023103,48,027,023103
1330,496,425,115,294,48027023104,48,027,023104
5325,1269,1175,998,1883,48027023105,48,027,023105
3335,982,862,895,596,48027023106,48,027,023106
2608,630,906,562,510,48027023107,48,027,023107
4852,801,1405,1179,1467,48027023108,48,027,023108
463,57,200,101,105,48027023201,48,027,023201
571,52,208,100,211,48027023202,48,027,023202
430,43,173,116,98,48027023203,48,027,023203
224,24,33,68,99,48027023204,48,027,023204
3002,579,1173,536,714,48027023300,48,027,023300
1712,289,613,238,572,48027023402,48,027,023402
2441,371,1116,236,718,48027023403,48,027,023403
1414,280,596,112,426,48027023404,48,027,023404
858,364,211,111,172,48027023500,48,027,023500
0,0,0,0,0,48027980001,48,027,980001
0,0,0,0,0,48027980002,48,027,980002
0,0,0,0,0,48027980003,48,027,980003
1786,1210,528,48,0,48029110100,48,029,110100
1411,712,373,177,149,48029110300,48,029,110300
786,232,132,217,205,48029110500,48,029,110500
1305,872,178,107,148,48029110600,48,029,110600
554,307,139,34,74,48029110700,48,029,110700
860,483,189,113,75,48029110800,48,029,110800
1016,591,371,48,6,48029110900,48,029,110900
1188,571,369,86,162,48029111000,48,029,111000
922,33,146,209,534,48029120100,48,029,120100
3164,780,1247,498,639,48029120300,48,029,120300
2172,572,781,230,589,48029120400,48,029,120400
3231,1044,756,586,845,48029120501,48,029,120501
1706,504,361,312,529,48029120502,48,029,120502
3101,1728,811,371,191,48029120600,48,029,120600
2436,833,833,391,379,48029120701,48,029,120701
2365,1313,673,139,240,48029120702,48,029,120702
